County,County No State,Origin,Origin (2014-18 US),Origin (tooltip),State,County % by Origin,County N Imm,Number of Records,Round County N Imm,Round Total Imm Pop,Total Imm Pop,Total US Pop
"Flagler County, Florida",Flagler County,Bolivia,Bolivia,Bolivia,Florida,0,0,1,,78800,78808,329725481
"Flagler County, Florida",Flagler County,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Florida,0,0,1,,107400,107368,329725481
"Flagler County, Florida",Flagler County,Brazil,Brazil,Brazil,Florida,0.001076782,554,1,,514500,514496,329725481
"Flagler County, Florida",Flagler County,Bulgaria,Bulgaria,Bulgaria,Florida,0,0,1,,74200,74181,329725481
"Flagler County, Florida",Flagler County,Cabo Verde,Cabo Verde,Cabo Verde,Florida,0.000861969,37,1,,42900,42925,329725481
"Flagler County, Florida",Flagler County,Cambodia,Cambodia,Cambodia,Florida,0.001017596,151,1,,148400,148389,329725481
"Flagler County, Florida",Flagler County,Cameroon,Cameroon,Cameroon,Florida,0,0,1,,76300,76277,329725481
"Flagler County, Florida",Flagler County,Canada,Canada,Canada,Florida,0.000587362,481,1,,818900,818916,329725481
"Flagler County, Florida",Flagler County,Caribbean,Caribbean,Caribbean,Florida,0.000449745,2025,1,2000,4502600,4502553,329725481
"Flagler County, Florida",Flagler County,Central America,Central America,Central America,Florida,5.02E-05,726,1,,14451700,14451651,329725481
"Flagler County, Florida",Flagler County,"Central America, excluding Mexico","Central America, excluding Mexico","Central America, excl. Mexico",Florida,0.000106903,385,1,,3601400,3601391,329725481
"Flagler County, Florida",Flagler County,Chile,Chile,Chile,Florida,0,0,1,,104400,104388,329725481
"Flagler County, Florida",Flagler County,China,China,China,Florida,2.42E-05,68,1,,2815400,2815423,329725481
"Flagler County, Florida",Flagler County,"China, excluding Hong Kong and Taiwan","China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",Florida,3.09E-05,68,1,,2197400,2197387,329725481
"Flagler County, Florida",Flagler County,"China, excluding Taiwan","China, excluding Taiwan","China, excl. Taiwan",Florida,2.79E-05,68,1,,2437600,2437579,329725481
"Flagler County, Florida",Flagler County,Colombia,Colombia,Colombia,Florida,0.000774995,646,1,,833600,833554,329725481
"Flagler County, Florida",Flagler County,Congo,Congo,Congo,Florida,0,0,1,,32100,32128,329725481
"Flagler County, Florida",Flagler County,Costa Rica,Costa Rica,Costa Rica,Florida,0.000451477,43,1,,95200,95243,329725481
"Flagler County, Florida",Flagler County,Croatia,Croatia,Croatia,Florida,0.000338093,13,1,,38500,38451,329725481
"Flagler County, Florida",Flagler County,Cuba,Cuba,Cuba,Florida,0.00039065,513,1,,1313200,1313196,329725481
"Flagler County, Florida",Flagler County,Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (incl. Czech Republic & Slovakia),Florida,0.001225768,81,1,,66100,66081,329725481
"Flagler County, Florida",Flagler County,Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Florida,0,0,1,,55700,55728,329725481
"Flagler County, Florida",Flagler County,Denmark,Denmark,Denmark,Florida,0.000833449,24,1,,28800,28796,329725481
"Flagler County, Florida",Flagler County,Dominica,Dominica,Dominica,Florida,0.001554708,53,1,,34100,34090,329725481
"Flagler County, Florida",Flagler County,Dominican Republic,Dominican Republic,Dominican Republic,Florida,8.33E-05,100,1,,1201200,1201155,329725481
"Flagler County, Florida",Flagler County,Eastern Africa,Eastern Africa,Eastern Africa,Florida,7.72E-05,56,1,,725200,725232,329725481
"Flagler County, Florida",Flagler County,Eastern Asia,Eastern Asia,Eastern Asia,Florida,8.83E-05,372,1,,4213200,4213150,329725481
"Flagler County, Florida",Flagler County,Eastern Europe,Eastern Europe,Eastern Europe,Florida,0.001057243,2334,1,2300,2207600,2207629,329725481
"Flagler County, Florida",Flagler County,Ecuador,Ecuador,Ecuador,Florida,0.000220683,102,1,,462200,462202,329725481
"Flagler County, Florida",Flagler County,Egypt,Egypt,Egypt,Florida,0,0,1,,212900,212876,329725481
"Flagler County, Florida",Flagler County,El Salvador,El Salvador,El Salvador,Florida,1.79E-05,25,1,,1396000,1395958,329725481
"Flagler County, Florida",Flagler County,Eritrea,Eritrea,Eritrea,Florida,0,0,1,,50600,50569,329725481
"Flagler County, Florida",Flagler County,Ethiopia,Ethiopia,Ethiopia,Florida,0,0,1,,266400,266439,329725481
"Flagler County, Florida",Flagler County,Europe,Europe,Europe,Florida,0.001089715,5279,1,5300,4844400,4844388,329725481
"Flagler County, Florida",Flagler County,Fiji,Fiji,Fiji,Florida,0,0,1,,46200,46174,329725481
"Flagler County, Florida",Flagler County,France,France,France,Florida,0.000270481,50,1,,184900,184856,329725481
"Flagler County, Florida",Flagler County,Germany,Germany,Germany,Florida,0.001264892,688,1,,543900,543920,329725481
"Flagler County, Florida",Flagler County,Ghana,Ghana,Ghana,Florida,0,0,1,,188200,188168,329725481
"Flagler County, Florida",Flagler County,Greece,Greece,Greece,Florida,0.000344466,42,1,,121900,121928,329725481
"Flagler County, Florida",Flagler County,Grenada,Grenada,Grenada,Florida,0.000221104,8,1,,36200,36182,329725481
"Flagler County, Florida",Flagler County,Guatemala,Guatemala,Guatemala,Florida,0.000148631,151,1,,1015900,1015942,329725481
"Flagler County, Florida",Flagler County,Guyana,Guyana,Guyana,Florida,0.001520536,427,1,,280800,280822,329725481
"Flagler County, Florida",Flagler County,Haiti,Haiti,Haiti,Florida,0.000618326,421,1,,680900,680871,329725481
"Flagler County, Florida",Flagler County,Honduras,Honduras,Honduras,Florida,1.90E-05,13,1,,684000,684003,329725481
"Flagler County, Florida",Flagler County,Hong Kong,Hong Kong,Hong Kong,Florida,0,0,1,,240200,240192,329725481
"Flagler County, Florida",Flagler County,Hungary,Hungary,Hungary,Florida,0.000701412,46,1,,65600,65582,329725481
"Flagler County, Florida",Flagler County,India,India,India,Florida,4.33E-05,116,1,,2681200,2681209,329725481
"Flagler County, Florida",Flagler County,Indonesia,Indonesia,Indonesia,Florida,0.000817361,80,1,,97900,97876,329725481
"Flagler County, Florida",Flagler County,Iran,Iran,Iran,Florida,0,0,1,,391900,391865,329725481
"Flagler County, Florida",Flagler County,Iraq,Iraq,Iraq,Florida,0,0,1,,235100,235111,329725481
"Flagler County, Florida",Flagler County,Ireland,Ireland,Ireland,Florida,0.000378604,46,1,,121500,121499,329725481
"Flagler County, Florida",Flagler County,Israel,Israel,Israel,Florida,0,0,1,,140600,140559,329725481
"Flagler County, Florida",Flagler County,Italy,Italy,Italy,Florida,0.000712299,229,1,,321500,321494,329725481
"Flagler County, Florida",Flagler County,Jamaica,Jamaica,Jamaica,Florida,0.000815476,641,1,,786000,786044,329725481
"Flagler County, Florida",Flagler County,Japan,Japan,Japan,Florida,6.66E-05,23,1,,345500,345530,329725481
"Flagler County, Florida",Flagler County,Jordan,Jordan,Jordan,Florida,0,0,1,,87200,87215,329725481
"Flagler County, Florida",Flagler County,Kazakhstan,Kazakhstan,Kazakhstan,Florida,0.009699864,329,1,,33900,33918,329725481
"Flagler County, Florida",Flagler County,Kenya,Kenya,Kenya,Florida,7.95E-05,12,1,,150900,150926,329725481
"Flagler County, Florida",Flagler County,Korea,Korea,Korea,Florida,4.15E-05,43,1,,1035300,1035281,329725481
"Flagler County, Florida",Flagler County,Kuwait,Kuwait,Kuwait,Florida,0,0,1,,33700,33670,329725481
"Flagler County, Florida",Flagler County,Laos,Laos,Laos,Florida,0.000129072,23,1,,178200,178195,329725481
"Flagler County, Florida",Flagler County,Latin America,Latin America,Latin America,Florida,0.000233023,5228,1,5200,22435500,22435537,329725481
"Flagler County, Florida",Flagler County,Latvia,Latvia,Latvia,Florida,0,0,1,,23100,23070,329725481
"Flagler County, Florida",Flagler County,Lebanon,Lebanon,Lebanon,Florida,0,0,1,,132500,132520,329725481
"Flagler County, Florida",Flagler County,Liberia,Liberia,Liberia,Florida,0,0,1,,95300,95254,329725481
"Flagler County, Florida",Flagler County,Lithuania,Lithuania,Lithuania,Florida,0.000908611,31,1,,34100,34118,329725481
"Flagler County, Florida",Flagler County,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,Florida,1.54E-05,19,1,,1229800,1229834,329725481
"Flagler County, Florida",Flagler County,Macedonia,Macedonia,Macedonia,Florida,0,0,1,,27700,27747,329725481
"Flagler County, Florida",Flagler County,Malaysia,Malaysia,Malaysia,Florida,0,0,1,,81200,81169,329725481
"Flagler County, Florida",Flagler County,Mexico,Mexico,Mexico,Florida,3.14E-05,341,1,,10850300,10850260,329725481
"Flagler County, Florida",Flagler County,Micronesia,Micronesia,Micronesia,Florida,0,0,1,,30900,30920,329725481
"Flagler County, Florida",Flagler County,Middle Africa,Middle Africa,Middle Africa,Florida,7.62E-05,14,1,,183800,183786,329725481
"Flagler County, Florida",Flagler County,Moldova,Moldova,Moldova,Florida,0.00149692,78,1,,52100,52107,329725481
"Flagler County, Florida",Flagler County,Morocco,Morocco,Morocco,Florida,0,0,1,,88100,88132,329725481
"Flagler County, Florida",Flagler County,Myanmar (Burma),Myanmar (Burma),Myanmar (Burma),Florida,0.000256484,40,1,,156000,155955,329725481
"Flagler County, Florida",Flagler County,Nepal,Nepal,Nepal,Florida,0,0,1,,153900,153937,329725481
"Flagler County, Florida",Flagler County,Netherlands,Netherlands,Netherlands,Florida,0,0,1,,84100,84052,329725481
"Flagler County, Florida",Flagler County,Nicaragua,Nicaragua,Nicaragua,Florida,0.000181351,45,1,,248100,248138,329725481
"Flagler County, Florida",Flagler County,Nigeria,Nigeria,Nigeria,Florida,0,0,1,,396600,396630,329725481
"Flagler County, Florida",Flagler County,Northern Africa,Northern Africa,Northern Africa,Florida,2.69E-05,11,1,,408300,408257,329725481
"Flagler County, Florida",Flagler County,Northern America,Northern America,Northern America,Florida,0.000588025,487,1,,828200,828196,329725481
"Flagler County, Florida",Flagler County,Northern Europe,Northern Europe,Northern Europe,Florida,0.000542503,518,1,,954800,954833,329725481
"Flagler County, Florida",Flagler County,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",Florida,6.10E-05,189,1,,3095900,3095903,329725481
"Flagler County, Florida",Flagler County,Norway,Norway,Norway,Florida,0,0,1,,22100,22052,329725481
"Flagler County, Florida",Flagler County,Oceania,Oceania,Oceania,Florida,0.000172973,50,1,,289100,289063,329725481
"Flagler County, Florida",Flagler County,Other Middle Africa,Other Middle Africa,Other Middle Africa,Florida,1,10,1,,0,10,329725481
"Flagler County, Florida",Flagler County,Pakistan,Pakistan,Pakistan,Florida,0.000372716,144,1,,386400,386353,329725481
"Flagler County, Florida",Flagler County,Panama,Panama,Panama,Florida,0.000728587,77,1,,105700,105684,329725481
"Flagler County, Florida",Flagler County,Peru,Peru,Peru,Florida,0.001137962,526,1,,462200,462230,329725481
"Flagler County, Florida",Flagler County,Philippines,Philippines,the Philippines,Florida,0.000372997,741,1,,1986600,1986609,329725481
"Flagler County, Florida",Flagler County,Poland,Poland,Poland,Florida,0.0011477,481,1,,419100,419099,329725481
"Flagler County, Florida",Flagler County,Portugal,Portugal,Portugal,Florida,0.006769719,1161,1,1200,171500,171499,329725481
"Flagler County, Florida",Flagler County,Romania,Romania,Romania,Florida,3.60E-05,6,1,,166700,166674,329725481
"Flagler County, Florida",Flagler County,Russia,Russia,Russia,Florida,0.002164077,882,1,,407600,407564,329725481
"Flagler County, Florida",Flagler County,Saudi Arabia,Saudi Arabia,Saudi Arabia,Florida,0,0,1,,68900,68915,329725481
"Flagler County, Florida",Flagler County,Senegal,Senegal,Senegal,Florida,0,0,1,,31600,31620,329725481
"Flagler County, Florida",Flagler County,Serbia,Serbia,Serbia,Florida,0,0,1,,40500,40543,329725481
"Flagler County, Florida",Flagler County,Sierra Leone,Sierra Leone,Sierra Leone,Florida,0.000530997,24,1,,45200,45198,329725481
"Flagler County, Florida",Flagler County,Singapore,Singapore,Singapore,Florida,0,0,1,,35700,35722,329725481
"Flagler County, Florida",Flagler County,Somalia,Somalia,Somalia,Florida,0,0,1,,99900,99941,329725481
"Flagler County, Florida",Flagler County,South Africa,South Africa,South Africa,Florida,0.000332904,37,1,,111100,111143,329725481
"Flagler County, Florida",Flagler County,South America,South America,South America,Florida,0.000711509,2477,1,2500,3481300,3481333,329725481
"Flagler County, Florida",Flagler County,South Central Asia,South Central Asia,South Central Asia,Florida,0.000157471,665,1,,4223000,4223004,329725481
"Flagler County, Florida",Flagler County,South Eastern Asia,South Eastern Asia,South Eastern Asia,Florida,0.000320633,1375,1,1400,4288400,4288398,329725481
"Flagler County, Florida",Flagler County,Southern Africa,Southern Africa,Southern Africa,Florida,0.000319351,37,1,,115900,115860,329725481
"Flagler County, Florida",Flagler County,Southern Europe,Southern Europe,Southern Europe,Florida,0.002069601,1535,1,1500,741700,741689,329725481
"Flagler County, Florida",Flagler County,Spain,Spain,Spain,Florida,0.00085625,103,1,,120300,120292,329725481
"Flagler County, Florida",Flagler County,Sri Lanka,Sri Lanka,Sri Lanka,Florida,0,0,1,,54900,54882,329725481
"Flagler County, Florida",Flagler County,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,Florida,0,0,1,,23900,23936,329725481
"Flagler County, Florida",Flagler County,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Florida,8.12E-05,168,1,,2069300,2069258,329725481
"Flagler County, Florida",Flagler County,Sudan,Sudan,Sudan,Florida,0,0,1,,54800,54762,329725481
"Flagler County, Florida",Flagler County,Sweden,Sweden,Sweden,Florida,0.000568553,27,1,,47500,47489,329725481
"Flagler County, Florida",Flagler County,Switzerland,Switzerland,Switzerland,Florida,8.04E-05,3,1,,37300,37295,329725481
"Flagler County, Florida",Flagler County,Syria,Syria,Syria,Florida,0,0,1,,105800,105842,329725481
"Flagler County, Florida",Flagler County,Taiwan,Taiwan,Taiwan,Florida,0,0,1,,377800,377844,329725481
"Flagler County, Florida",Flagler County,Thailand,Thailand,Thailand,Florida,0.000840201,215,1,,255900,255891,329725481
"Flagler County, Florida",Flagler County,(All countries),Total immigrants,all countries,Florida,0.000304985,13677,1,13700,44844800,44844808,329725481
"Flagler County, Florida",Flagler County,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Florida,0.000904218,209,1,,231100,231139,329725481
"Flagler County, Florida",Flagler County,Turkey,Turkey,Turkey,Florida,0.000127885,17,1,,132900,132932,329725481
"Flagler County, Florida",Flagler County,Uganda,Uganda,Uganda,Florida,0,0,1,,32900,32934,329725481
"Flagler County, Florida",Flagler County,Ukraine,Ukraine,Ukraine,Florida,0.001437843,537,1,,373500,373476,329725481
"Flagler County, Florida",Flagler County,United Kingdom,United Kingdom,the United Kingdom,Florida,0.000593091,421,1,,709800,709840,329725481
"Flagler County, Florida",Flagler County,Uruguay,Uruguay,Uruguay,Florida,0.000349345,18,1,,51500,51525,329725481
"Flagler County, Florida",Flagler County,Uzbekistan,Uzbekistan,Uzbekistan,Florida,0.000864616,60,1,,69400,69395,329725481
"Flagler County, Florida",Flagler County,Venezuela,Venezuela,Venezuela,Florida,0.000259849,119,1,,458000,457958,329725481
"Flagler County, Florida",Flagler County,Vietnam,Vietnam,Vietnam,Florida,9.28E-05,125,1,,1347300,1347339,329725481
"Flagler County, Florida",Flagler County,Western Africa,Western Africa,Western Africa,Florida,6.53E-05,61,1,,933900,933888,329725481
"Flagler County, Florida",Flagler County,Western Asia,Western Asia,Western Asia,Florida,3.53E-05,42,1,,1190200,1190198,329725481
"Flagler County, Florida",Flagler County,Western Europe,Western Europe,Western Europe,Florida,0.000813692,755,1,,927900,927870,329725481
"Flagler County, Florida",Flagler County,Yemen,Yemen,Yemen,Florida,0,0,1,,60900,60865,329725481
"Flagler County, Florida",Flagler County,Zimbabwe,Zimbabwe,Zimbabwe,Florida,0,0,1,,26100,26111,329725481
"Gadsden County, Florida",Gadsden County,Afghanistan,Afghanistan,Afghanistan,Florida,0,0,1,,118500,118496,329725481
"Gadsden County, Florida",Gadsden County,Africa,Africa,Africa,Florida,7.18E-05,178,1,,2477500,2477515,329725481
"Gadsden County, Florida",Gadsden County,Albania,Albania,Albania,Florida,0,0,1,,101400,101356,329725481
"Gadsden County, Florida",Gadsden County,Americas,Americas,Americas,Florida,7.92E-05,1843,1,1800,23263700,23263733,329725481
"Gadsden County, Florida",Gadsden County,Argentina,Argentina,Argentina,Florida,0,0,1,,196800,196841,329725481
"Gadsden County, Florida",Gadsden County,Armenia,Armenia,Armenia,Florida,0,0,1,,95100,95130,329725481
"Gadsden County, Florida",Gadsden County,Asia,Asia,Asia,Florida,6.80E-06,95,1,,13969600,13969568,329725481
"Gadsden County, Florida",Gadsden County,Australia,Australia,Australia,Florida,0,0,1,,98200,98216,329725481
"Gadsden County, Florida",Gadsden County,Australia and New Zealand Subregion,Australia and New Zealand Subregion,Australia and New Zealand Subregion,Florida,0,0,1,,129400,129416,329725481
"Gadsden County, Florida",Gadsden County,Austria,Austria,Austria,Florida,0,0,1,,40400,40445,329725481
"Gadsden County, Florida",Gadsden County,Bahamas,Bahamas,Bahamas,Florida,0.00077198,27,1,,35000,34975,329725481
"Gadsden County, Florida",Gadsden County,Bangladesh,Bangladesh,Bangladesh,Florida,0,0,1,,259600,259597,329725481
"Gadsden County, Florida",Gadsden County,Barbados,Barbados,Barbados,Florida,0,0,1,,53900,53861,329725481
"Gadsden County, Florida",Gadsden County,Belarus,Belarus,Belarus,Florida,0,0,1,,70100,70143,329725481
"Gadsden County, Florida",Gadsden County,Belgium,Belgium,Belgium,Florida,0,0,1,,35000,35017,329725481
"Gadsden County, Florida",Gadsden County,Belize,Belize,Belize,Florida,0.000175747,8,1,,45500,45520,329725481
"Gadsden County, Florida",Gadsden County,Bolivia,Bolivia,Bolivia,Florida,0,0,1,,78800,78808,329725481
"Gadsden County, Florida",Gadsden County,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Florida,0,0,1,,107400,107368,329725481
"Gadsden County, Florida",Gadsden County,Brazil,Brazil,Brazil,Florida,0,0,1,,514500,514496,329725481
"Gadsden County, Florida",Gadsden County,Bulgaria,Bulgaria,Bulgaria,Florida,0,0,1,,74200,74181,329725481
"Gadsden County, Florida",Gadsden County,Cabo Verde,Cabo Verde,Cabo Verde,Florida,0,0,1,,42900,42925,329725481
"Gadsden County, Florida",Gadsden County,Cambodia,Cambodia,Cambodia,Florida,0,0,1,,148400,148389,329725481
"Gadsden County, Florida",Gadsden County,Cameroon,Cameroon,Cameroon,Florida,0,0,1,,76300,76277,329725481
"Gadsden County, Florida",Gadsden County,Canada,Canada,Canada,Florida,0,0,1,,818900,818916,329725481
"Gadsden County, Florida",Gadsden County,Caribbean,Caribbean,Caribbean,Florida,3.69E-05,166,1,,4502600,4502553,329725481
"Gadsden County, Florida",Gadsden County,Central America,Central America,Central America,Florida,0.000112098,1620,1,1600,14451700,14451651,329725481
"Gadsden County, Florida",Gadsden County,"Central America, excluding Mexico","Central America, excluding Mexico","Central America, excl. Mexico",Florida,8.05E-05,290,1,,3601400,3601391,329725481
"Gadsden County, Florida",Gadsden County,Chile,Chile,Chile,Florida,0,0,1,,104400,104388,329725481
"Gadsden County, Florida",Gadsden County,China,China,China,Florida,1.10E-05,31,1,,2815400,2815423,329725481
"Gadsden County, Florida",Gadsden County,"China, excluding Hong Kong and Taiwan","China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",Florida,1.41E-05,31,1,,2197400,2197387,329725481
"Gadsden County, Florida",Gadsden County,"China, excluding Taiwan","China, excluding Taiwan","China, excl. Taiwan",Florida,1.27E-05,31,1,,2437600,2437579,329725481
"Gadsden County, Florida",Gadsden County,Colombia,Colombia,Colombia,Florida,3.84E-05,32,1,,833600,833554,329725481
"Gadsden County, Florida",Gadsden County,Congo,Congo,Congo,Florida,0,0,1,,32100,32128,329725481
"Gadsden County, Florida",Gadsden County,Costa Rica,Costa Rica,Costa Rica,Florida,0,0,1,,95200,95243,329725481
"Gadsden County, Florida",Gadsden County,Croatia,Croatia,Croatia,Florida,0,0,1,,38500,38451,329725481
"Gadsden County, Florida",Gadsden County,Cuba,Cuba,Cuba,Florida,7.39E-05,97,1,,1313200,1313196,329725481
"Gadsden County, Florida",Gadsden County,Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (incl. Czech Republic & Slovakia),Florida,0.000226994,15,1,,66100,66081,329725481
"Gadsden County, Florida",Gadsden County,Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Florida,0,0,1,,55700,55728,329725481
"Gadsden County, Florida",Gadsden County,Denmark,Denmark,Denmark,Florida,0,0,1,,28800,28796,329725481
"Gadsden County, Florida",Gadsden County,Dominica,Dominica,Dominica,Florida,0,0,1,,34100,34090,329725481
"Gadsden County, Florida",Gadsden County,Dominican Republic,Dominican Republic,Dominican Republic,Florida,8.33E-06,10,1,,1201200,1201155,329725481
"Gadsden County, Florida",Gadsden County,Eastern Africa,Eastern Africa,Eastern Africa,Florida,0.000173738,126,1,,725200,725232,329725481
"Gadsden County, Florida",Gadsden County,Eastern Asia,Eastern Asia,Eastern Asia,Florida,1.09E-05,46,1,,4213200,4213150,329725481
"Gadsden County, Florida",Gadsden County,Eastern Europe,Eastern Europe,Eastern Europe,Florida,6.79E-06,15,1,,2207600,2207629,329725481
"Gadsden County, Florida",Gadsden County,Ecuador,Ecuador,Ecuador,Florida,1.30E-05,6,1,,462200,462202,329725481
"Gadsden County, Florida",Gadsden County,Egypt,Egypt,Egypt,Florida,0,0,1,,212900,212876,329725481
"Gadsden County, Florida",Gadsden County,El Salvador,El Salvador,El Salvador,Florida,0.000164761,230,1,,1396000,1395958,329725481
"Gadsden County, Florida",Gadsden County,Eritrea,Eritrea,Eritrea,Florida,0,0,1,,50600,50569,329725481
"Gadsden County, Florida",Gadsden County,Ethiopia,Ethiopia,Ethiopia,Florida,9.76E-05,26,1,,266400,266439,329725481
"Gadsden County, Florida",Gadsden County,Europe,Europe,Europe,Florida,2.50E-05,121,1,,4844400,4844388,329725481
"Gadsden County, Florida",Gadsden County,Fiji,Fiji,Fiji,Florida,0,0,1,,46200,46174,329725481
"Gadsden County, Florida",Gadsden County,France,France,France,Florida,0,0,1,,184900,184856,329725481
"Gadsden County, Florida",Gadsden County,Germany,Germany,Germany,Florida,3.49E-05,19,1,,543900,543920,329725481
"Gadsden County, Florida",Gadsden County,Ghana,Ghana,Ghana,Florida,0,0,1,,188200,188168,329725481
"Gadsden County, Florida",Gadsden County,Greece,Greece,Greece,Florida,0.00036907,45,1,,121900,121928,329725481
"Gadsden County, Florida",Gadsden County,Grenada,Grenada,Grenada,Florida,0,0,1,,36200,36182,329725481
"Gadsden County, Florida",Gadsden County,Guatemala,Guatemala,Guatemala,Florida,5.12E-05,52,1,,1015900,1015942,329725481
"Gadsden County, Florida",Gadsden County,Guyana,Guyana,Guyana,Florida,0,0,1,,280800,280822,329725481
"Gadsden County, Florida",Gadsden County,Haiti,Haiti,Haiti,Florida,1.32E-05,9,1,,680900,680871,329725481
"Gadsden County, Florida",Gadsden County,Honduras,Honduras,Honduras,Florida,0,0,1,,684000,684003,329725481
"Gadsden County, Florida",Gadsden County,Hong Kong,Hong Kong,Hong Kong,Florida,0,0,1,,240200,240192,329725481
"Gadsden County, Florida",Gadsden County,Hungary,Hungary,Hungary,Florida,0,0,1,,65600,65582,329725481
"Gadsden County, Florida",Gadsden County,India,India,India,Florida,0,0,1,,2681200,2681209,329725481
"Gadsden County, Florida",Gadsden County,Indonesia,Indonesia,Indonesia,Florida,0,0,1,,97900,97876,329725481
"Gadsden County, Florida",Gadsden County,Iran,Iran,Iran,Florida,3.83E-05,15,1,,391900,391865,329725481
"Gadsden County, Florida",Gadsden County,Iraq,Iraq,Iraq,Florida,0,0,1,,235100,235111,329725481
"Gadsden County, Florida",Gadsden County,Ireland,Ireland,Ireland,Florida,0,0,1,,121500,121499,329725481
"Gadsden County, Florida",Gadsden County,Israel,Israel,Israel,Florida,0,0,1,,140600,140559,329725481
"Gadsden County, Florida",Gadsden County,Italy,Italy,Italy,Florida,0,0,1,,321500,321494,329725481
"Gadsden County, Florida",Gadsden County,Jamaica,Jamaica,Jamaica,Florida,2.42E-05,19,1,,786000,786044,329725481
"Gadsden County, Florida",Gadsden County,Japan,Japan,Japan,Florida,4.34E-05,15,1,,345500,345530,329725481
"Gadsden County, Florida",Gadsden County,Jordan,Jordan,Jordan,Florida,0,0,1,,87200,87215,329725481
"Gadsden County, Florida",Gadsden County,Kazakhstan,Kazakhstan,Kazakhstan,Florida,0,0,1,,33900,33918,329725481
"Gadsden County, Florida",Gadsden County,Kenya,Kenya,Kenya,Florida,0,0,1,,150900,150926,329725481
"Gadsden County, Florida",Gadsden County,Korea,Korea,Korea,Florida,0,0,1,,1035300,1035281,329725481
"Gadsden County, Florida",Gadsden County,Kuwait,Kuwait,Kuwait,Florida,0,0,1,,33700,33670,329725481
"Gadsden County, Florida",Gadsden County,Laos,Laos,Laos,Florida,0,0,1,,178200,178195,329725481
"Gadsden County, Florida",Gadsden County,Latin America,Latin America,Latin America,Florida,8.21E-05,1843,1,1800,22435500,22435537,329725481
"Gadsden County, Florida",Gadsden County,Latvia,Latvia,Latvia,Florida,0,0,1,,23100,23070,329725481
"Gadsden County, Florida",Gadsden County,Lebanon,Lebanon,Lebanon,Florida,0.00011319,15,1,,132500,132520,329725481
"Gadsden County, Florida",Gadsden County,Liberia,Liberia,Liberia,Florida,0,0,1,,95300,95254,329725481
"Gadsden County, Florida",Gadsden County,Lithuania,Lithuania,Lithuania,Florida,0,0,1,,34100,34118,329725481
"Gadsden County, Florida",Gadsden County,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,Florida,1.22E-05,15,1,,1229800,1229834,329725481
"Gadsden County, Florida",Gadsden County,Macedonia,Macedonia,Macedonia,Florida,0,0,1,,27700,27747,329725481
"Gadsden County, Florida",Gadsden County,Malaysia,Malaysia,Malaysia,Florida,0,0,1,,81200,81169,329725481
"Gadsden County, Florida",Gadsden County,Mexico,Mexico,Mexico,Florida,0.000122578,1330,1,1300,10850300,10850260,329725481
"Gadsden County, Florida",Gadsden County,Micronesia,Micronesia,Micronesia,Florida,0,0,1,,30900,30920,329725481
"Gadsden County, Florida",Gadsden County,Middle Africa,Middle Africa,Middle Africa,Florida,0,0,1,,183800,183786,329725481
"Gadsden County, Florida",Gadsden County,Moldova,Moldova,Moldova,Florida,0,0,1,,52100,52107,329725481
"Gadsden County, Florida",Gadsden County,Morocco,Morocco,Morocco,Florida,0,0,1,,88100,88132,329725481
"Gadsden County, Florida",Gadsden County,Myanmar (Burma),Myanmar (Burma),Myanmar (Burma),Florida,0,0,1,,156000,155955,329725481
"Gadsden County, Florida",Gadsden County,Nepal,Nepal,Nepal,Florida,0,0,1,,153900,153937,329725481
"Gadsden County, Florida",Gadsden County,Netherlands,Netherlands,Netherlands,Florida,2.38E-05,2,1,,84100,84052,329725481
"Gadsden County, Florida",Gadsden County,Nicaragua,Nicaragua,Nicaragua,Florida,0,0,1,,248100,248138,329725481
"Gadsden County, Florida",Gadsden County,Nigeria,Nigeria,Nigeria,Florida,0.000128583,51,1,,396600,396630,329725481
"Gadsden County, Florida",Gadsden County,Northern Africa,Northern Africa,Northern Africa,Florida,0,0,1,,408300,408257,329725481
"Gadsden County, Florida",Gadsden County,Northern America,Northern America,Northern America,Florida,0,0,1,,828200,828196,329725481
