County,County No State,Origin,Origin (2014-18 US),Origin (tooltip),State,County % by Origin,County N Imm,Number of Records,Round County N Imm,Round Total Imm Pop,Total Imm Pop,Total US Pop
"Brevard County, Florida",Brevard County,Denmark,Denmark,Denmark,Florida,0.003924156,113,1,,28800,28796,329725481
"Brevard County, Florida",Brevard County,Dominica,Dominica,Dominica,Florida,0.001378703,47,1,,34100,34090,329725481
"Brevard County, Florida",Brevard County,Dominican Republic,Dominican Republic,Dominican Republic,Florida,0.001075631,1292,1,1300,1201200,1201155,329725481
"Brevard County, Florida",Brevard County,Eastern Africa,Eastern Africa,Eastern Africa,Florida,0.000314382,228,1,,725200,725232,329725481
"Brevard County, Florida",Brevard County,Eastern Asia,Eastern Asia,Eastern Asia,Florida,0.000793705,3344,1,3300,4213200,4213150,329725481
"Brevard County, Florida",Brevard County,Eastern Europe,Eastern Europe,Eastern Europe,Florida,0.000958947,2117,1,2100,2207600,2207629,329725481
"Brevard County, Florida",Brevard County,Ecuador,Ecuador,Ecuador,Florida,0.000832969,385,1,,462200,462202,329725481
"Brevard County, Florida",Brevard County,Egypt,Egypt,Egypt,Florida,0.0013529,288,1,,212900,212876,329725481
"Brevard County, Florida",Brevard County,El Salvador,El Salvador,El Salvador,Florida,0.0004205,587,1,,1396000,1395958,329725481
"Brevard County, Florida",Brevard County,Eritrea,Eritrea,Eritrea,Florida,0,0,1,,50600,50569,329725481
"Brevard County, Florida",Brevard County,Ethiopia,Ethiopia,Ethiopia,Florida,3.75E-05,10,1,,266400,266439,329725481
"Brevard County, Florida",Brevard County,Europe,Europe,Europe,Florida,0.002030803,9838,1,9800,4844400,4844388,329725481
"Brevard County, Florida",Brevard County,Fiji,Fiji,Fiji,Florida,0,0,1,,46200,46174,329725481
"Brevard County, Florida",Brevard County,France,France,France,Florida,0.003326914,615,1,,184900,184856,329725481
"Brevard County, Florida",Brevard County,Germany,Germany,Germany,Florida,0.003684365,2004,1,2000,543900,543920,329725481
"Brevard County, Florida",Brevard County,Ghana,Ghana,Ghana,Florida,0.000122231,23,1,,188200,188168,329725481
"Brevard County, Florida",Brevard County,Greece,Greece,Greece,Florida,0.001148219,140,1,,121900,121928,329725481
"Brevard County, Florida",Brevard County,Grenada,Grenada,Grenada,Florida,0.00950749,344,1,,36200,36182,329725481
"Brevard County, Florida",Brevard County,Guatemala,Guatemala,Guatemala,Florida,0.000789415,802,1,,1015900,1015942,329725481
"Brevard County, Florida",Brevard County,Guyana,Guyana,Guyana,Florida,0.001438634,404,1,,280800,280822,329725481
